employee_id,age,age_cohort,gender,marital_status,department,job_role,job_level,education,education_label,education_field,monthly_income,income_bracket,daily_rate,hourly_rate,monthly_rate,percent_salary_hike,stock_option_level,overtime,overtime_flag,business_travel,distance_from_home,distance_band,job_satisfaction,job_satisfaction_label,environment_satisfaction,environment_satisfaction_label,relationship_satisfaction,relationship_satisfaction_label,work_life_balance,work_life_balance_label,job_involvement,performance_rating,performance_label,total_working_years,years_at_company,tenure_band,years_in_current_role,years_since_last_promotion,years_with_curr_manager,training_times_last_year,num_companies_worked,attrition,attrition_flag
1,41,40-49,Female,Single,Sales,Sales Executive,2,2,2 - College,Life Sciences,5993,"Mid ($3,500 - $7,000)",1102,94,19479,11,0,Yes,1,Travel_Rarely,1,Near (1-5 mi),4,4 - Very High,2,2 - Medium,1,1 - Low,1,1 - Bad,3,3,3 - Excellent,8,6,6-10 Years,4,0,5,0,8,Yes,1
2,49,40-49,Male,Married,Research & Development,Research Scientist,2,1,1 - Below College,Life Sciences,5130,"Mid ($3,500 - $7,000)",279,61,24907,23,1,No,0,Travel_Frequently,8,Moderate (6-15 mi),2,2 - Medium,3,3 - High,4,4 - Very High,3,3 - Better,2,4,4 - Outstanding,10,10,6-10 Years,7,1,7,3,1,No,0
4,37,30-39,Male,Single,Research & Development,Laboratory Technician,1,2,2 - College,Other,2090,"Low (<$3,500)",1373,92,2396,15,0,Yes,1,Travel_Rarely,2,Near (1-5 mi),3,3 - High,4,4 - Very High,2,2 - Medium,3,3 - Better,2,3,3 - Excellent,7,0,< 1 Year,0,0,0,3,6,Yes,1
5,33,30-39,Female,Married,Research & Development,Research Scientist,1,4,4 - Master,Life Sciences,2909,"Low (<$3,500)",1392,56,23159,11,0,Yes,1,Travel_Frequently,3,Near (1-5 mi),3,3 - High,4,4 - Very High,3,3 - High,3,3 - Better,3,3,3 - Excellent,8,8,6-10 Years,7,3,0,3,1,No,0
7,27,Under 30,Male,Married,Research & Development,Laboratory Technician,1,1,1 - Below College,Medical,3468,"Low (<$3,500)",591,40,16632,12,1,No,0,Travel_Rarely,2,Near (1-5 mi),2,2 - Medium,1,1 - Low,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,6,2,1-2 Years,2,2,2,3,9,No,0
8,32,30-39,Male,Single,Research & Development,Laboratory Technician,1,2,2 - College,Life Sciences,3068,"Low (<$3,500)",1005,79,11864,13,0,No,0,Travel_Frequently,2,Near (1-5 mi),4,4 - Very High,4,4 - Very High,3,3 - High,2,2 - Good,3,3,3 - Excellent,8,7,6-10 Years,7,3,6,2,0,No,0
10,59,50+,Female,Married,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Medical,2670,"Low (<$3,500)",1324,81,9964,20,3,Yes,1,Travel_Rarely,3,Near (1-5 mi),1,1 - Low,3,3 - High,1,1 - Low,2,2 - Good,4,4,4 - Outstanding,12,1,1-2 Years,0,0,0,3,4,No,0
11,30,30-39,Male,Divorced,Research & Development,Laboratory Technician,1,1,1 - Below College,Life Sciences,2693,"Low (<$3,500)",1358,67,13335,22,1,No,0,Travel_Rarely,24,Far (16-25 mi),3,3 - High,4,4 - Very High,2,2 - Medium,3,3 - Better,3,4,4 - Outstanding,1,1,1-2 Years,0,0,0,2,1,No,0
12,38,30-39,Male,Single,Research & Development,Manufacturing Director,3,3,3 - Bachelor,Life Sciences,9526,"High ($7,001 - $12,000)",216,44,8787,21,0,No,0,Travel_Frequently,23,Far (16-25 mi),3,3 - High,4,4 - Very High,2,2 - Medium,3,3 - Better,2,4,4 - Outstanding,10,9,6-10 Years,7,1,8,2,0,No,0
13,36,30-39,Male,Married,Research & Development,Healthcare Representative,2,3,3 - Bachelor,Medical,5237,"Mid ($3,500 - $7,000)",1299,94,16577,13,2,No,0,Travel_Rarely,27,Very Far (26+ mi),3,3 - High,3,3 - High,2,2 - Medium,2,2 - Good,3,3,3 - Excellent,17,7,6-10 Years,7,7,7,3,6,No,0
14,35,30-39,Male,Married,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Medical,2426,"Low (<$3,500)",809,84,16479,13,1,No,0,Travel_Rarely,16,Far (16-25 mi),2,2 - Medium,1,1 - Low,3,3 - High,3,3 - Better,4,3,3 - Excellent,6,5,3-5 Years,4,0,3,5,0,No,0
